Destination Plate Type;Destination Plate Name;Sample name;Destination Well;Transfer Volume;Source Well;Source Plate Name;Source Plate Type
Greiner384_black_PS_Fbottom_781906;destination1;water well;N11;225;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O11;950;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P11;425;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A12;325;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B12;0;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C12;525;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D12;1275;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E12;175;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F12;475;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G12;300;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H12;525;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I12;450;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J12;100;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K12;1000;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L12;575;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M12;450;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N12;500;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O12;250;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P12;1050;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A13;1900;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B13;75;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B1;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I1;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J1;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L1;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M1;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N1;175;F16;source1;384PP_Plus_AQ_GPSA
