hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,Day
0.5,3.0,2.0,2.5,0.1,1.0,4.0,10.0,4.0,1.0,3.0,1.0,7.0,0.2,0.4,4.0,0.2,0.1,0.05,0.2,13.32,0.1,55,1.681490583,5
0.5,3.0,2.0,2.5,0.1,2.0,4.0,5.0,2.0,2.0,6.0,2.0,7.0,0.2,0.4,2.0,0.2,0.1,0.1,0.05,13.32,0.1,54,2.297556651,3
0.5,3.0,2.0,2.5,0.2,1.0,4.0,20.0,2.0,2.0,3.0,4.0,1.75,0.1,0.2,4.0,0.1,0.05,0.1,0.1,13.32,0.1,49,0.615440847,3
0.5,3.0,2.0,2.5,0.2,2.0,2.0,10.0,2.0,2.0,6.0,2.0,7.0,0.2,0.4,1.0,0.2,0.1,0.2,0.05,13.32,0.1,42,0.180369061,5
0.5,3.0,2.0,2.5,0.2,2.0,6.0,5.0,2.0,2.0,6.0,1.0,7.0,0.2,0.4,4.0,0.2,0.05,0.05,0.1,13.32,0.1,59,2.395396571,5
0.5,6.0,1.0,1.25,0.1,0.5,2.0,5.0,4.0,1.0,6.0,2.0,7.0,0.1,0.4,4.0,0.05,0.1,0.2,0.1,13.32,0.1,44,1.325165084,5
0.5,6.0,1.0,1.25,0.2,1.0,4.0,5.0,2.0,4.0,3.0,2.0,7.0,0.4,0.4,4.0,0.05,0.05,0.1,0.05,13.32,0.1,64,1.363694894,5
0.5,6.0,1.0,1.25,0.4,0.5,2.0,5.0,4.0,4.0,3.0,1.0,7.0,0.1,0.4,4.0,0.2,0.1,0.1,0.1,13.32,0.1,51,0.226618233,5
0.5,6.0,1.0,2.5,0.1,2.0,4.0,5.0,4.0,1.0,3.0,1.0,7.0,0.2,0.4,2.0,0.05,0.05,0.1,0.1,20.1,0.1,49,1.246070663,7
0.5,6.0,1.0,2.5,0.1,2.0,4.0,5.0,4.0,2.0,6.0,1.0,3.5,0.1,0.4,2.0,0.2,0.2,0.1,0.1,13.32,0.1,38,2.249685826,3
0.5,6.0,1.0,2.5,0.1,2.0,4.0,10.0,2.0,1.0,3.0,1.0,7.0,0.2,0.4,2.0,0.2,0.1,0.2,0.1,13.32,0.1,41,2.1491774484999997,7
0.5,6.0,1.0,2.5,0.2,1.0,4.0,5.0,2.0,2.0,1.5,1.0,7.0,0.2,0.4,2.0,0.1,0.2,0.05,0.1,20.1,0.1,59,1.09236653,7
0.5,6.0,1.0,2.5,0.4,1.0,4.0,5.0,4.0,1.0,3.0,1.0,7.0,0.2,0.4,1.0,0.2,0.05,0.1,0.2,13.32,0.1,56,1.903709421,5
0.5,6.0,1.0,2.5,0.4,2.0,4.0,5.0,4.0,2.0,3.0,1.0,3.5,0.1,0.2,1.0,0.05,0.05,0.2,0.05,13.32,0.1,62,0.797626036,3
0.5,6.0,2.0,2.5,0.1,0.5,4.0,10.0,2.0,2.0,6.0,1.0,1.75,0.1,0.4,4.0,0.1,0.2,0.05,0.2,13.32,0.1,37,1.04963362,3
0.5,6.0,2.0,2.5,0.1,0.5,4.0,20.0,2.0,1.0,6.0,2.0,7.0,0.4,0.4,1.0,0.1,0.05,0.1,0.2,3.33,0.1,76,0.700606973,2
0.5,6.0,2.0,2.5,0.1,1.0,4.0,5.0,2.0,4.0,6.0,1.0,7.0,0.2,0.4,4.0,0.1,0.1,0.1,0.1,13.32,0.1,55,1.361263636,3
0.5,6.0,2.0,5.0,0.2,1.0,2.0,5.0,4.0,2.0,6.0,2.0,7.0,0.2,0.4,2.0,0.2,0.05,0.05,0.1,13.32,0.1,53,0.506898026,5
0.5,6.0,4.0,2.5,0.4,0.5,2.0,10.0,2.0,2.0,3.0,2.0,3.5,0.4,0.2,1.0,0.05,0.1,0.2,0.2,13.32,0.1,75,0.012039718,2
0.5,12.0,2.0,1.25,0.2,1.0,4.0,5.0,8.0,1.0,6.0,1.0,7.0,0.2,0.1,1.0,0.2,0.05,0.1,0.2,6.7,0.1,62,0.197208964,1
1.0,3.0,1.0,1.25,0.1,0.5,4.0,5.0,2.0,2.0,3.0,2.0,7.0,0.2,0.4,4.0,0.1,0.2,0.1,0.1,13.32,0.1,36,2.334364654,3
1.0,3.0,1.0,1.25,0.1,0.5,6.0,5.0,8.0,1.0,6.0,2.0,7.0,0.1,0.4,2.0,0.05,0.05,0.2,0.1,13.32,0.1,44,0.735068221,4
1.0,3.0,1.0,1.25,0.1,0.5,6.0,10.0,4.0,2.0,3.0,2.0,1.75,0.4,0.4,4.0,0.2,0.1,0.05,0.1,13.32,0.1,46,0.796823441,4
1.0,3.0,1.0,1.25,0.1,1.0,2.0,5.0,4.0,4.0,3.0,1.0,7.0,0.2,0.4,4.0,0.05,0.05,0.1,0.05,13.32,0.1,48,0.52836161,4
1.0,3.0,1.0,1.25,0.1,1.0,4.0,5.0,2.0,4.0,6.0,2.0,1.75,0.1,0.4,4.0,0.05,0.05,0.05,0.1,13.32,0.1,53,0.652903413,4
1.0,3.0,1.0,1.25,0.1,2.0,4.0,5.0,4.0,1.0,6.0,1.0,7.0,0.4,0.4,4.0,0.05,0.05,0.1,0.1,13.32,0.1,45,1.551287024,3
1.0,3.0,1.0,1.25,0.1,2.0,4.0,5.0,4.0,1.0,6.0,2.0,3.5,0.1,0.4,2.0,0.1,0.2,0.05,0.05,13.32,0.1,61,1.310624155,5
