Day,Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
4,4,0.5,3,2,5,0.1,2,6,5,8,2,3,1,7,0.1,0.4,2,0.1,0.05,0.1,0.2,3.33,0.1,1.03807153
2,23,2,6,1,1.25,0.2,1,2,5,4,2,12,1,3.5,0.1,0.4,2,0.05,0.1,0.05,0.2,13.32,0.1,1.03614554
4,15,1,3,1,1.25,0.4,2,4,5,8,1,3,4,7,0.2,0.4,2,0.1,0.05,0.2,0.2,6.7,0.1,1.035112453
4,20,0.5,3,2,2.5,0.1,1,2,5,8,4,6,4,7,0.1,0.4,4,0.05,0.1,0.1,0.2,6.7,0.1,1.034317164
8,10,4,3,1,2.5,0.2,0.5,4,5,8,1,3,1,3.5,0.2,0.4,1,0.05,0.025,0.1,0.2,13.32,0.1,1.01471534
6,4,1,1.5,0.5,5,0.1,1,2,5,8,0.5,3,1,7,0.2,0.8,1,0.05,0.1,0.2,0.4,6.7,0.1,1.012621708
1,REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
8,11,1,3,1,5,0.2,1,4,5,4,1,3,1,7,0.1,0.4,1,0.025,0.05,0.05,0.2,20.1,0.1,0.989780141
7,3,2,3,2,2.5,0.2,0.5,4,10,4,1,1.5,1,7,0.2,0.8,0.5,0.05,0.05,0.2,0.2,6.7,0.1,0.988567338
1,28,1,6,2,2.5,0.2,2,4,20,4,2,3,1,7,0.1,0.1,1,0.2,0.05,0.05,0.2,3.33,0.1,0.987511182
7,15,2,3,1,5,0.1,1,4,10,4,0.5,1.5,2,3.5,0.2,0.4,0.5,0.05,0.1,0.1,0.2,6.7,0.1,0.98226355
6,1,1,3,0.5,5,0.05,0.5,4,5,8,1,1.5,1,7,0.2,0.4,0.5,0.05,0.1,0.2,0.4,6.7,0.1,0.972697236
6,27,1,1.5,0.5,5,0.05,1,2,10,4,1,1.5,1,7,0.2,0.4,0.5,0.05,0.1,0.2,0.2,6.7,0.1,0.963488954
4,21,1,3,1,1.25,0.4,2,6,5,8,1,3,4,3.5,0.1,0.4,2,0.05,0.1,0.05,0.2,13.32,0.1,0.96183118
7,24,4,3,1,5,0.2,0.5,2,5,8,0.5,3,2,7,0.2,0.8,2,0.025,0.1,0.1,0.4,6.7,0.1,0.939554202
